# 
# Header Description:
# 
# Version: v2.0.0.1 Platform: 10 Manufacturer: Xiaomi Model: Redmi Note 7
# 
# Raw,ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,CarrierFrequencyHz
# 
# Fix,Provider,Latitude,Longitude,Altitude,Speed,Accuracy,(UTC)TimeInMs
# 
# Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
Raw,327702664,327769999000000,,,-1457982460431821479,0.633148193359375,30.236697057262063,17.897510273947365,11.054425886527078,1417,2,0.0,207,61812358042288,19,27.9,172.30929565429688,0.26829999685287476,0,0.0,0.0,1.59975002E9,,,,0,,3,0.26,1.59975002E9
Raw,327702664,327769999000000,,,-1457982460431821479,0.633148193359375,30.236697057262063,17.897510273947365,11.054425886527078,1417,18,0.0,207,61812364939876,17,28.8,175.7474365234375,0.23930001258850098,0,0.0,0.0,1.60031245E9,,,,0,,3,0.26,1.60031245E9
Raw,327702664,327769999000000,,,-1457982460431821479,0.633148193359375,30.236697057262063,17.897510273947365,11.054425886527078,1417,9,0.0,207,61812360829664,21,26.4,-36.160404205322266,0.31119999289512634,0,0.0,0.0,1.60087501E9,,,,0,,3,0.26,1.60087501E9
Raw,327702665,327769999000000,,,-1457982460431821479,0.633148193359375,30.236697057262063,17.897510273947365,11.054425886527078,1417,16,0.0,207,61812359216617,12,32.3,673.7182006835938,0.2224000096321106,0,0.0,0.0,1.60143744E9,,,,0,,3,0.26,1.60143744E9
Raw,327702665,327769999000000,,,-1457982460431821479,0.633148193359375,30.236697057262063,17.897510273947365,11.054425886527078,1417,19,0.0,207,61812361173024,13,31.2,-395.7897033691406,0.22670000791549683,0,0.0,0.0,1.60368755E9,,,,0,,3,0.26,1.60368755E9
Raw,327702665,327769999000000,,,-1457982460431821479,0.633148193359375,30.236697057262063,17.897510273947365,11.054425886527078,1417,2,0.0,15,137430356831287,5,40.2,-397.43408203125,0.04340000078082085,0,0.0,0.0,1.57542003E9,,,,0,,1,2.12,1.57542003E9
Raw,327702666,327769999000000,,,-1457982460431821479,0.633148193359375,30.236697057262063,17.897510273947365,11.054425886527078,1417,8,0.0,15,137430362030214,10,34.6,-299.8106384277344,0.025100000202655792,0,0.0,0.0,1.57542003E9,,,,0,,1,2.12,1.57542003E9
Raw,327702666,327769999000000,,,-1457982460431821479,0.633148193359375,30.236697057262063,17.897510273947365,11.054425886527078,1417,10,0.0,15,137430360393983,17,28.5,-9.644082069396973,0.0333000011742115,0,0.0,0.0,1.57542003E9,,,,0,,1,2.12,1.57542003E9
Raw,327702667,327769999000000,,,-1457982460431821479,0.633148193359375,30.236697057262063,17.897510273947365,11.054425886527078,1417,16,0.0,15,137430356192104,16,29.4,642.3652954101562,0.050700001418590546,0,0.0,0.0,1.57542003E9,,,,0,,1,2.12,1.57542003E9
Raw,327702667,327769999000000,,,-1457982460431821479,0.633148193359375,30.236697057262063,17.897510273947365,11.054425886527078,1417,18,0.0,15,137430348115476,40,21.1,599.758056640625,0.8585000038146973,0,0.0,0.0,1.57542003E9,,,,0,,1,2.12,1.57542003E9
Raw,327702667,327769999000000,,,-1457982460431821479,0.633148193359375,30.236697057262063,17.897510273947365,11.054425886527078,1417,23,0.0,15,137430357009615,13,31.9,444.44476318359375,0.050700001418590546,0,0.0,0.0,1.57542003E9,,,,0,,1,2.12,1.57542003E9
Raw,327702668,327769999000000,,,-1457982460431821479,0.633148193359375,30.236697057262063,17.897510273947365,11.054425886527078,1417,27,0.0,15,137430363765112,10,34.2,107.50733947753906,0.026600001379847527,0,0.0,0.0,1.57542003E9,,,,0,,1,2.12,1.57542003E9
Raw,327702668,327769999000000,,,-1457982460431821479,0.633148193359375,30.236697057262063,17.897510273947365,11.054425886527078,1417,8,0.0,15,137416299014329,55,19.4,233.4528045654297,1.565000057220459,0,0.0,0.0,1.56109798E9,,,,0,,5,1.9,1.56109798E9
